Wave long;Wave short
;
;
3201.90234;3201.90234
3201.07617;3199.40999236334
3200.25;3196.91764472669
3199.42285;3194.42529709003
3198.59668;3191.93294945338
3197.76953;3189.44060181672
3196.94238;3186.94825418007
3196.11523;3184.45590654341
3195.28809;3181.96355890675
3194.46094;3179.4712112701
3193.63379;3176.97886363344
3192.80566;3174.48651599679
3191.97852;3171.99416836013
3191.15039;3169.50182072348
3190.32227;3167.00947308682
3189.49414;3164.51712545016
3188.66602;3162.02477781351
3187.83789;3159.53243017685
3187.00879;3157.0400825402
3186.18066;3154.54773490354
3185.35156;3152.05538726689
3184.52246;3149.56303963023
3183.69336;3147.07069199357
3182.86426;3144.57834435692
3182.03516;3142.08599672026
3181.20508;3139.59364908361
3180.37598;3137.10130144695
3179.5459;3134.6089538103
3178.71582;3132.11660617364
3177.88574;3129.62425853698
3177.05566;3127.13191090033
3176.22559;3124.63956326367
3175.39551;3122.14721562702
3174.56445;3119.65486799036
3173.7334;3117.16252035371
3172.90332;3114.67017271705
3172.07227;3112.17782508039
3171.24121;3109.68547744374
3170.41016;3107.19312980708
3169.57813;3104.70078217043
3168.74707;3102.20843453377
3167.91504;3099.71608689712
3167.08398;3097.22373926046
3166.25195;3094.7313916238
3165.41992;3092.23904398715
3164.58789;3089.74669635049
3163.75488;3087.25434871384
3162.92285;3084.76200107718
3162.08984;3082.26965344053
3161.25781;3079.77730580387
3160.42481;3077.28495816721
3159.5918;3074.79261053056
3158.75879;3072.3002628939
3157.92578;3069.80791525725
3157.0918;3067.31556762059
3156.25879;3064.82321998394
3155.42481;3062.33087234728
3154.59082;3059.83852471061
3153.75684;3057.34617707397
3152.92285;3054.85382943731
3152.08887;3052.36148180066
3151.25488;3049.869134164
3150.41992;3047.37678652735
3149.58594;3044.88443889069
3148.75098;3042.39209125403
3147.91602;3039.89974361738
3147.08106;3037.40739598072
3146.24609;3034.91504834407
3145.41113;3032.42270070741
3144.5752;3029.93035307076
3143.74023;3027.4380054341
3142.9043;3024.94565779744
3142.06836;3022.45331016079
3141.23242;3019.96096252413
3140.39648;3017.46861488748
3139.56055;3014.97626725082
3138.72363;3012.48391961417
3137.8877;3009.99157197751
3137.05078;3007.49922434085
3136.21387;3005.0068767042
3135.37695;3002.51452906754
3134.54004;3000.02218143089
3133.70313;2997.52983379423
3132.86621;2995.03748615758
3132.02832;2992.54513852092
3131.19141;2990.05279088426
3130.35352;2987.56044324761
3129.51563;2985.06809561095
3128.67773;2982.5757479743
3127.83984;2980.08340033764
3127.00098;2977.59105270099
3126.16309;2975.09870506433
3125.32422;2972.60635742767
3124.48633;2970.11400979102
3123.64746;2967.62166215436
3122.80859;2965.12931451771
3121.96973;2962.63696688105
3121.12988;2960.1446192444
3120.29102;2957.65227160774
3119.45117;2955.15992397108
3118.61231;2952.66757633443
3117.77246;2950.17522869777
3116.93262;2947.68288106112
3116.09277;2945.19053342446
3115.25195;2942.6981857878
3114.41211;2940.20583815115
3113.57129;2937.71349051449
3112.73145;2935.22114287784
3111.89063;2932.72879524118
3111.04981;2930.23644760453
3110.20898;2927.74409996787
3109.36816;2925.25175233121
3108.52637;2922.75940469456
3107.68555;2920.2670570579
